index_id,candidate_id,confidence_score,need_judge
2340,12840,5,False
2342,12842,5,False
2345,12845,5,False
2346,12846,5,False
2347,-1,1,True
2351,12851,5,False
2353,12853,5,False
2363,12863,5,False
2370,12870,5,False
2379,12879,5,False
2384,12884,5,False
2386,12886,5,False
2387,12887,5,False
2392,12892,5,False
2398,12898,5,False
2403,12903,5,False
2405,12905,5,False
2407,12907,5,False
2409,12909,5,False
2420,12920,5,False
2421,12921,5,False
2423,12923,5,False
2429,12929,5,False
2433,12933,5,False
2437,-1,1,True
2444,12944,5,False
2445,12945,5,False
2450,12950,5,False
2451,12951,5,False
2452,12952,5,False
2453,12953,5,False
2457,12957,5,False
2460,12960,5,False
2468,12968,5,False
2469,12969,5,False
2473,12973,5,False
2474,12974,5,False
2476,12976,5,False
2477,12977,5,False
2484,12984,5,False
2488,12988,5,False
2489,12989,5,False
2492,12992,5,False
2494,12994,4,True
2510,13010,5,False
2511,13011,5,False
2519,13019,5,False
2522,13022,5,False
2533,13033,5,False
2542,13042,5,False
2543,13043,5,False
2550,13050,5,False
2553,13053,5,False
2564,13064,5,False
2565,13065,5,False
2567,13067,5,False
2577,13077,5,False
2580,13080,5,False
2581,13081,5,False
2585,13085,5,False
2590,13090,5,False
2596,13096,5,False
2597,-1,1,True
2600,13100,5,False
2617,13117,5,False
2619,13119,5,False
2620,-1,1,True
2622,13122,5,False
2627,13127,5,False
2632,13132,5,False
2633,13133,5,False
2634,13134,5,False
2637,13137,5,False
2638,13138,5,False
2640,13140,5,False
2648,13148,5,False
2649,13149,5,False
2651,-1,1,True
2653,13153,5,False
2654,13154,5,False
2661,13161,5,False
2671,13171,5,False
2672,13172,5,False
2696,13196,5,False
2700,13200,5,False
2706,13206,5,False
2707,13207,5,False
2713,13213,5,False
2723,13223,5,False
2730,13230,5,False
2731,13231,5,False
2736,13236,5,False
2739,13239,5,False
2754,13254,5,False
2755,13255,5,False
2757,13257,5,False
2767,13267,5,False
2768,15170,2,True
2770,13270,5,False
2771,13271,5,False
2776,13276,4,True
2787,13287,5,False
2791,13291,5,False
2794,13294,5,False
2797,13297,5,False
2802,13302,5,False
2806,13306,5,False
2809,13309,5,False
2812,13312,5,False
2823,13323,5,False
2850,13350,5,False
2852,13352,5,False
2859,13359,5,False
2870,13370,5,False
2871,13371,5,False
2876,13376,5,False
2886,13386,5,False
2889,13389,5,False
2892,13392,5,False
2901,13401,5,False
2903,13403,5,False
2906,13406,5,False
2908,13408,5,False
2919,13419,5,False
2920,13420,5,False
2924,13424,5,False
2926,13426,5,False
2929,13429,5,False
2930,13430,5,False
2941,13441,5,False
2946,13446,5,False
2947,13447,5,False
2950,13450,5,False
2952,13452,5,False
2957,13457,5,False
2958,13458,5,False
2959,13459,5,False
2960,13460,5,False
2967,13467,5,False
2977,13477,5,False
2979,13479,5,False
2980,13480,5,False
2981,13481,4,True
2985,13485,5,False
2990,13490,5,False
2992,13492,5,False
2998,13498,5,False
2999,13499,5,False
3002,13502,5,False
3005,14353,4,True
3014,13514,5,False
3015,13515,5,False
3020,13520,5,False
3034,13534,5,False
3040,13540,5,False
3041,13541,5,False
3047,13547,5,False
3048,13548,5,False
3064,13564,5,False
3084,13584,5,False
3089,13589,5,False
3094,13594,5,False
3097,13597,5,False
3102,13602,5,False
3106,13606,5,False
3108,13608,5,False
3114,13614,5,False
3128,13628,5,False
3132,13632,5,False
3133,13633,5,False
3136,13636,5,False
3137,13637,5,False
3142,13642,5,False
3146,-1,1,True
3147,13647,5,False
3150,13650,5,False
3156,13656,5,False
3165,13665,5,False
3179,13679,5,False
3181,13681,5,False
3182,13682,5,False
3184,13684,5,False
3187,13687,5,False
3191,13691,5,False
3210,13710,5,False
3211,13711,5,False
3212,13712,5,False
3216,13716,5,False
3218,13718,5,False
3219,13719,5,False
3231,13731,5,False
3233,13733,5,False
3236,13736,5,False
3237,13737,5,False
3252,13752,5,False
3256,13756,5,False
3260,13760,5,False
3267,13767,5,False
3274,13774,5,False
3276,13776,5,False
3289,13781,3,True
3293,13793,5,False
3299,13799,5,False
3302,13802,5,False
3304,13804,5,False
3305,13805,5,False
3307,13807,5,False
3314,13814,5,False
3315,13815,5,False
3319,13819,5,False
3321,13821,5,False
3325,13825,5,False
3327,13827,5,False
3338,13838,5,False
3342,13842,5,False
3346,13846,5,False
3348,13848,5,False
3354,13854,5,False
3369,13869,5,False
3371,13871,5,False
3372,13872,5,False
3375,13875,5,False
3377,13877,5,False
3385,13885,5,False
3408,13908,5,False
3413,13913,5,False
3416,13916,5,False
3417,13917,5,False
3424,13924,5,False
3425,13925,5,False
3432,13932,5,False
3437,-1,1,True
3442,13942,5,False
3447,13947,5,False
3449,13949,5,False
3450,13950,5,False
3451,13951,4,True
3453,13953,5,False
3455,-1,1,True
3456,13956,5,False
3465,13965,5,False
3467,13967,5,False
3473,13973,5,False
3476,13976,5,False
3492,13992,5,False
3496,13996,5,False
3503,14003,5,False
3508,14008,5,False
3511,14011,5,False
3513,14013,5,False
3518,14018,5,False
3519,14019,5,False
3528,14028,5,False
3529,14029,5,False
3532,14032,4,True
3535,14035,5,False
3536,14036,5,False
3538,14038,5,False
3545,14045,5,False
3558,14058,5,False
3566,14066,5,False
3569,14069,5,False
3586,14086,5,False
3599,14099,5,False
3600,14100,5,False
3607,14107,5,False
3611,14111,5,False
3616,14116,5,False
3631,14131,5,False
3635,14135,5,False
3637,14137,5,False
3641,14141,5,False
3647,14147,5,False
3649,14149,5,False
3662,14162,5,False
3664,14164,5,False
3672,14172,5,False
3675,14175,5,False
3690,14190,5,False
3693,14193,5,False
3695,14195,5,False
3699,14199,5,False
3701,14201,5,False
3706,13271,4,True
3718,14218,5,False
3724,14224,5,False
3727,14227,5,False
3732,14232,5,False
3736,-1,1,True
3737,14237,5,False
3743,14243,5,False
3752,14252,5,False
3758,14258,5,False
3760,14260,5,False
3763,14263,5,False
3767,14267,5,False
3772,14272,5,False
3780,14280,5,False
3781,14281,5,False
3782,14282,5,False
3791,14291,5,False
3792,14292,5,False
3794,14294,5,False
3803,14303,5,False
3808,14308,5,False
3812,14312,5,False
3814,14314,5,False
3817,14317,5,False
3819,14319,5,False
3822,14322,5,False
3823,14323,5,False
3825,14325,5,False
3830,14330,5,False
3831,14331,5,False
3837,14337,5,False
3840,14340,5,False
3844,14344,5,False
3845,14345,5,False
3848,-1,1,True
3852,14352,5,False
3853,14353,5,False
3857,14357,5,False
3865,-1,1,True
3867,14367,5,False
3872,14372,5,False
3877,14377,5,False
3882,14382,5,False
3885,14385,5,False
3888,14388,5,False
3890,-1,1,True
3894,14394,5,False
3896,14396,5,False
3914,14414,5,False
3929,14429,5,False
3934,14434,5,False
3939,14439,5,False
3942,14442,5,False
3943,14443,5,False
3948,14448,5,False
3953,14453,5,False
3955,14455,5,False
3956,14456,5,False
3957,14457,5,False
3962,-1,1,True
3965,14465,5,False
3971,14471,5,False
3972,14472,5,False
3974,14474,5,False
3976,14476,5,False
3979,14479,5,False
3981,14481,5,False
3990,14490,5,False
3996,14496,5,False
3998,14498,5,False
3999,14499,5,False
4002,14502,5,False
4007,14507,5,False
4012,14512,5,False
4013,14513,5,False
4020,14520,5,False
4022,14522,5,False
4025,14525,5,False
4028,14528,5,False
4031,14531,5,False
4036,14536,5,False
4039,14539,5,False
4040,14540,5,False
4045,14545,5,False
4050,14550,5,False
4059,14559,5,False
4061,14561,5,False
4071,14571,5,False
4072,14572,5,False
4074,14574,5,False
4084,14584,5,False
4087,14587,5,False
4089,14589,5,False
4090,14590,5,False
4104,14604,5,False
4106,14606,5,False
4113,14613,5,False
4119,14619,5,False
4122,14622,5,False
4131,-1,1,True
4157,14657,5,False
4167,14667,5,False
4168,14668,5,False
4174,-1,1,True
4176,14676,5,False
4179,14679,5,False
4183,14683,5,False
4184,14684,5,False
4191,14691,5,False
4198,14698,5,False
4200,14700,5,False
4203,-1,1,True
4207,14707,4,True
4209,-1,1,True
4211,14711,5,False
4216,14716,5,False
4221,14721,5,False
4223,14723,5,False
4225,14725,5,False
4230,14730,5,False
4237,14737,5,False
4247,14747,5,False
4253,14753,5,False
4254,14754,5,False
4258,14758,5,False
4263,14763,5,False
4264,14764,5,False
4270,14770,5,False
4275,14775,5,False
4277,14777,5,False
4279,14779,5,False
4284,14784,5,False
4286,14786,5,False
4287,14787,5,False
4291,14791,5,False
4294,14794,5,False
4298,14798,5,False
4302,14802,5,False
4303,14803,5,False
4304,14804,5,False
4305,14805,5,False
4309,14809,5,False
4310,14810,5,False
4321,14821,5,False
4323,14823,5,False
4326,14826,5,False
4328,14828,5,False
4343,14843,5,False
4344,14844,5,False
4345,14845,5,False
4353,14853,5,False
4356,14856,5,False
4374,14874,5,False
4379,14879,5,False
4390,14890,5,False
4392,14892,5,False
4399,14899,5,False
4402,14902,5,False
4405,14905,5,False
4429,14929,5,False
4436,14936,5,False
4442,14942,5,False
4446,-1,1,True
4450,14950,5,False
4460,14960,5,False
4465,14965,5,False
4471,14971,5,False
4472,14972,5,False
4476,14976,5,False
4482,14982,5,False
4486,14986,5,False
4494,14994,5,False