index_name,index_uri,index_id,index_language,category,candidates_str,num_candidates
Gare_de_Nittedal,http://fr.dbpedia.org/resource/Gare_de_Nittedal,71,French,buildings/places,"[['Nittedal_Station', 'http://dbpedia.org/resource/Nittedal_Station', 10571, 'English'], ['Hauketo_Station', 'http://dbpedia.org/resource/Hauketo_Station', 12829, 'English'], ['Vegårshei_Station', 'http://dbpedia.org/resource/Vegårshei_Station', 30173, 'English'], ['Grefsen_Station', 'http://dbpedia.org/resource/Grefsen_Station', 20032, 'English'], ['Stabekk_Station', 'http://dbpedia.org/resource/Stabekk_Station', 36505, 'English'], ['Sørumsand_Station', 'http://dbpedia.org/resource/Sørumsand_Station', 34033, 'English'], ['Gausel_Station', 'http://dbpedia.org/resource/Gausel_Station', 31983, 'English'], ['Vakås_Station', 'http://dbpedia.org/resource/Vakås_Station', 14316, 'English'], ['Jørstad_Station', 'http://dbpedia.org/resource/Jørstad_Station', 11858, 'English'], ['Leirsund_Station', 'http://dbpedia.org/resource/Leirsund_Station', 32871, 'English'], ['Skøyen_Station', 'http://dbpedia.org/resource/Skøyen_Station', 17252, 'English'], ['Snåsa_Station', 'http://dbpedia.org/resource/Snåsa_Station', 31151, 'English'], ['Nordagutu_Station', 'http://dbpedia.org/resource/Nordagutu_Station', 17377, 'English'], ['Rotvoll_Station', 'http://dbpedia.org/resource/Rotvoll_Station', 31157, 'English'], ['Sonsveien_Station', 'http://dbpedia.org/resource/Sonsveien_Station', 12480, 'English'], ['Høybråten_Station', 'http://dbpedia.org/resource/Høybråten_Station', 15353, 'English'], ['Hakadal_Station', 'http://dbpedia.org/resource/Hakadal_Station', 37692, 'English'], ['Støren_Station', 'http://dbpedia.org/resource/Støren_Station', 19089, 'English'], ['Hvalstad_Station', 'http://dbpedia.org/resource/Hvalstad_Station', 14998, 'English'], ['Greverud_Station', 'http://dbpedia.org/resource/Greverud_Station', 14953, 'English']]",20
Gare_de_Bordeaux-Saint-Jean,http://fr.dbpedia.org/resource/Gare_de_Bordeaux-Saint-Jean,330,French,buildings/places,"[['Gare_de_Bordeaux-Saint-Jean', 'http://dbpedia.org/resource/Gare_de_Bordeaux-Saint-Jean', 10830, 'English'], ['Saint-André-du-Lac-Saint-Jean,_Quebec', 'http://dbpedia.org/resource/Saint-André-du-Lac-Saint-Jean,_Quebec', 14886, 'English'], [""Saint-Jean-de-l'Île-d'Orléans"", ""http://dbpedia.org/resource/Saint-Jean-de-l'Île-d'Orléans"", 11836, 'English'], ['Saint-Jean-Port-Joli,_Quebec', 'http://dbpedia.org/resource/Saint-Jean-Port-Joli,_Quebec', 14961, 'English'], ['Saint-Léon-le-Grand,_Bas-Saint-Laurent,_Quebec', 'http://dbpedia.org/resource/Saint-Léon-le-Grand,_Bas-Saint-Laurent,_Quebec', 36673, 'English'], ['Saint-Jean-de-Cherbourg,_Quebec', 'http://dbpedia.org/resource/Saint-Jean-de-Cherbourg,_Quebec', 17071, 'English'], ['Saint-Simon,_Bas-Saint-Laurent,_Quebec', 'http://dbpedia.org/resource/Saint-Simon,_Bas-Saint-Laurent,_Quebec', 18756, 'English'], ['Saint-Jean-Baptiste,_Quebec', 'http://dbpedia.org/resource/Saint-Jean-Baptiste,_Quebec', 19559, 'English'], ['Saint-Jean-sur-Richelieu', 'http://dbpedia.org/resource/Saint-Jean-sur-Richelieu', 20076, 'English'], ['Saint-Jean-de-Matha,_Quebec', 'http://dbpedia.org/resource/Saint-Jean-de-Matha,_Quebec', 35162, 'English'], ['Saint-Jean-de-Dieu,_Quebec', 'http://dbpedia.org/resource/Saint-Jean-de-Dieu,_Quebec', 18783, 'English'], ['Saint-Jean-de-Brébeuf,_Quebec', 'http://dbpedia.org/resource/Saint-Jean-de-Brébeuf,_Quebec', 31200, 'English'], ['Saint-Stanislas,_Saguenay–Lac-Saint-Jean,_Quebec', 'http://dbpedia.org/resource/Saint-Stanislas,_Saguenay–Lac-Saint-Jean,_Quebec', 32330, 'English'], ['Saint-Louis-du-Ha!_Ha!', 'http://dbpedia.org/resource/Saint-Louis-du-Ha!_Ha!', 30787, 'English'], ['Saint-Louis-de-Blandford,_Quebec', 'http://dbpedia.org/resource/Saint-Louis-de-Blandford,_Quebec', 15815, 'English'], ['Paris_Saint-Germain_F.C.', 'http://dbpedia.org/resource/Paris_Saint-Germain_F.C.', 17519, 'English'], ['Saint-Louis,_Quebec', 'http://dbpedia.org/resource/Saint-Louis,_Quebec', 20089, 'English'], [""L'Anse-Saint-Jean,_Quebec"", ""http://dbpedia.org/resource/L'Anse-Saint-Jean,_Quebec"", 16980, 'English'], ['Saint-Thomas,_Quebec', 'http://dbpedia.org/resource/Saint-Thomas,_Quebec', 20181, 'English'], ['Saint-Just-de-Bretenières,_Quebec', 'http://dbpedia.org/resource/Saint-Just-de-Bretenières,_Quebec', 32823, 'English']]",20
Stade_Maracanã,http://fr.dbpedia.org/resource/Stade_Maracanã,422,French,buildings/places,"[['Maracanã_Stadium', 'http://dbpedia.org/resource/Maracanã_Stadium', 10922, 'English'], ['Pacaembu_Stadium', 'http://dbpedia.org/resource/Pacaembu_Stadium', 11015, 'English'], ['Karaiskakis_Stadium', 'http://dbpedia.org/resource/Karaiskakis_Stadium', 35170, 'English'], ['Wembley_Stadium', 'http://dbpedia.org/resource/Wembley_Stadium', 16029, 'English'], ['Dasarath_Rangasala_Stadium', 'http://dbpedia.org/resource/Dasarath_Rangasala_Stadium', 30570, 'English'], ['Wembley_Stadium_(1923)', 'http://dbpedia.org/resource/Wembley_Stadium_(1923)', 14449, 'English'], ['Santiago_Bernabéu_Stadium', 'http://dbpedia.org/resource/Santiago_Bernabéu_Stadium', 11768, 'English'], ['Ergilio_Hato_Stadium', 'http://dbpedia.org/resource/Ergilio_Hato_Stadium', 31668, 'English'], ['Stadium_Arcadium', 'http://dbpedia.org/resource/Stadium_Arcadium', 17680, 'English'], ['Accra_Sports_Stadium', 'http://dbpedia.org/resource/Accra_Sports_Stadium', 31522, 'English'], ['Al-Merrikh_Stadium', 'http://dbpedia.org/resource/Al-Merrikh_Stadium', 34976, 'English'], ['Olympic_Stadium_(Athens)', 'http://dbpedia.org/resource/Olympic_Stadium_(Athens)', 15350, 'English'], ['Olympic_Stadium_(Amsterdam)', 'http://dbpedia.org/resource/Olympic_Stadium_(Amsterdam)', 18908, 'English'], ['Jan_Breydel_Stadium', 'http://dbpedia.org/resource/Jan_Breydel_Stadium', 11086, 'English'], ['Stamford_Bridge_(stadium)', 'http://dbpedia.org/resource/Stamford_Bridge_(stadium)', 20368, 'English'], ['Baba_Yara_Stadium', 'http://dbpedia.org/resource/Baba_Yara_Stadium', 31910, 'English'], ['Cairo_International_Stadium', 'http://dbpedia.org/resource/Cairo_International_Stadium', 20513, 'English'], ['Juan_Ramón_Loubriel_Stadium', 'http://dbpedia.org/resource/Juan_Ramón_Loubriel_Stadium', 32453, 'English'], [""St_Andrew's_(stadium)"", ""http://dbpedia.org/resource/St_Andrew's_(stadium)"", 32304, 'English'], ['Olympic_Stadium_(Phnom_Penh)', 'http://dbpedia.org/resource/Olympic_Stadium_(Phnom_Penh)', 30499, 'English']]",20
Stade_du_Pacaembu,http://fr.dbpedia.org/resource/Stade_du_Pacaembu,515,French,buildings/places,"[['Pacaembu_Stadium', 'http://dbpedia.org/resource/Pacaembu_Stadium', 11015, 'English'], ['Karaiskakis_Stadium', 'http://dbpedia.org/resource/Karaiskakis_Stadium', 35170, 'English'], ['Maracanã_Stadium', 'http://dbpedia.org/resource/Maracanã_Stadium', 10922, 'English'], ['Dasarath_Rangasala_Stadium', 'http://dbpedia.org/resource/Dasarath_Rangasala_Stadium', 30570, 'English'], ['Wembley_Stadium', 'http://dbpedia.org/resource/Wembley_Stadium', 16029, 'English'], ['Wembley_Stadium_(1923)', 'http://dbpedia.org/resource/Wembley_Stadium_(1923)', 14449, 'English'], ['Santiago_Bernabéu_Stadium', 'http://dbpedia.org/resource/Santiago_Bernabéu_Stadium', 11768, 'English'], ['Ergilio_Hato_Stadium', 'http://dbpedia.org/resource/Ergilio_Hato_Stadium', 31668, 'English'], ['Accra_Sports_Stadium', 'http://dbpedia.org/resource/Accra_Sports_Stadium', 31522, 'English'], ['Stadium_Arcadium', 'http://dbpedia.org/resource/Stadium_Arcadium', 17680, 'English'], ['Olympic_Stadium_(Athens)', 'http://dbpedia.org/resource/Olympic_Stadium_(Athens)', 15350, 'English'], ['Al-Merrikh_Stadium', 'http://dbpedia.org/resource/Al-Merrikh_Stadium', 34976, 'English'], ['Olympic_Stadium_(Amsterdam)', 'http://dbpedia.org/resource/Olympic_Stadium_(Amsterdam)', 18908, 'English'], ['Jan_Breydel_Stadium', 'http://dbpedia.org/resource/Jan_Breydel_Stadium', 11086, 'English'], ['Baba_Yara_Stadium', 'http://dbpedia.org/resource/Baba_Yara_Stadium', 31910, 'English'], ['Cairo_International_Stadium', 'http://dbpedia.org/resource/Cairo_International_Stadium', 20513, 'English'], ['Stamford_Bridge_(stadium)', 'http://dbpedia.org/resource/Stamford_Bridge_(stadium)', 20368, 'English'], [""St_Andrew's_(stadium)"", ""http://dbpedia.org/resource/St_Andrew's_(stadium)"", 32304, 'English'], ['Amman_International_Stadium', 'http://dbpedia.org/resource/Amman_International_Stadium', 16520, 'English'], ['St._Jakob_Stadium', 'http://dbpedia.org/resource/St._Jakob_Stadium', 19648, 'English']]",20
Estadio_Nacional_(Lima),http://fr.dbpedia.org/resource/Estadio_Nacional_(Lima),570,French,buildings/places,"[['Estadio_Nacional_de_Lima', 'http://dbpedia.org/resource/Estadio_Nacional_de_Lima', 11070, 'English'], ['Estadio_Nacional_Julio_Martínez_Prádanos', 'http://dbpedia.org/resource/Estadio_Nacional_Julio_Martínez_Prádanos', 12420, 'English'], ['Campeonato_Nacional_(Chile)', 'http://dbpedia.org/resource/Campeonato_Nacional_(Chile)', 33919, 'English'], ['Estadio_Libertadores_de_América', 'http://dbpedia.org/resource/Estadio_Libertadores_de_América', 13160, 'English'], ['Estadio_Centenario', 'http://dbpedia.org/resource/Estadio_Centenario', 37927, 'English'], ['Lima', 'http://dbpedia.org/resource/Lima', 12797, 'English'], ['Liga_Nacional_de_Fútbol_Profesional_de_Honduras', 'http://dbpedia.org/resource/Liga_Nacional_de_Fútbol_Profesional_de_Honduras', 32899, 'English'], ['Estadio_Olímpico_Pascual_Guerrero', 'http://dbpedia.org/resource/Estadio_Olímpico_Pascual_Guerrero', 33003, 'English'], ['Estadio_Monumental_Antonio_Vespucio_Liberti', 'http://dbpedia.org/resource/Estadio_Monumental_Antonio_Vespucio_Liberti', 37975, 'English'], ['Unión_de_Rugby_de_Buenos_Aires', 'http://dbpedia.org/resource/Unión_de_Rugby_de_Buenos_Aires', 30974, 'English'], ['Club_Deportivo_Universidad_Católica', 'http://dbpedia.org/resource/Club_Deportivo_Universidad_Católica', 31223, 'English'], ['Copa_Chile', 'http://dbpedia.org/resource/Copa_Chile', 37660, 'English'], ['C.D._Nacional', 'http://dbpedia.org/resource/C.D._Nacional', 12719, 'English'], ['Club_Nacional_de_Football', 'http://dbpedia.org/resource/Club_Nacional_de_Football', 19182, 'English'], ['Estadio_Hernando_Siles', 'http://dbpedia.org/resource/Estadio_Hernando_Siles', 31150, 'English'], ['Falange_Española_Tradicionalista_y_de_las_Juntas_de_Ofensiva_Nacional_Sindicalista', 'http://dbpedia.org/resource/Falange_Española_Tradicionalista_y_de_las_Juntas_de_Ofensiva_Nacional_Sindicalista', 15983, 'English'], ['Atlético_Clube_de_Portugal', 'http://dbpedia.org/resource/Atlético_Clube_de_Portugal', 34769, 'English'], ['Rio_de_Janeiro', 'http://dbpedia.org/resource/Rio_de_Janeiro', 15372, 'English'], ['Estudiantes_de_La_Plata', 'http://dbpedia.org/resource/Estudiantes_de_La_Plata', 38278, 'English'], ['Córdoba,_Argentina', 'http://dbpedia.org/resource/Córdoba,_Argentina', 34383, 'English']]",20
Stade_Jan-Breydel,http://fr.dbpedia.org/resource/Stade_Jan-Breydel,586,French,buildings/places,"[['Jan_Breydel_Stadium', 'http://dbpedia.org/resource/Jan_Breydel_Stadium', 11086, 'English'], ['Jan_Čaloun', 'http://dbpedia.org/resource/Jan_Čaloun', 18711, 'English'], ['Wembley_Stadium_(1923)', 'http://dbpedia.org/resource/Wembley_Stadium_(1923)', 14449, 'English'], ['Jan_Syrový', 'http://dbpedia.org/resource/Jan_Syrový', 20131, 'English'], ['Jan_Vapaavuori', 'http://dbpedia.org/resource/Jan_Vapaavuori', 15392, 'English'], ['Karaiskakis_Stadium', 'http://dbpedia.org/resource/Karaiskakis_Stadium', 35170, 'English'], ['Wembley_Stadium', 'http://dbpedia.org/resource/Wembley_Stadium', 16029, 'English'], ['St._Jakob_Stadium', 'http://dbpedia.org/resource/St._Jakob_Stadium', 19648, 'English'], ['Olympic_Stadium_(Amsterdam)', 'http://dbpedia.org/resource/Olympic_Stadium_(Amsterdam)', 18908, 'English'], ['Al-Merrikh_Stadium', 'http://dbpedia.org/resource/Al-Merrikh_Stadium', 34976, 'English'], ['Jan_Brewer', 'http://dbpedia.org/resource/Jan_Brewer', 16962, 'English'], ['Dasarath_Rangasala_Stadium', 'http://dbpedia.org/resource/Dasarath_Rangasala_Stadium', 30570, 'English'], ['Pacaembu_Stadium', 'http://dbpedia.org/resource/Pacaembu_Stadium', 11015, 'English'], ['Olympic_Stadium_(Athens)', 'http://dbpedia.org/resource/Olympic_Stadium_(Athens)', 15350, 'English'], [""St_Andrew's_(stadium)"", ""http://dbpedia.org/resource/St_Andrew's_(stadium)"", 32304, 'English'], ['Jan_Lammers', 'http://dbpedia.org/resource/Jan_Lammers', 12114, 'English'], ['Jan_Eliasson', 'http://dbpedia.org/resource/Jan_Eliasson', 14351, 'English'], ['Robert_F._Kennedy_Memorial_Stadium', 'http://dbpedia.org/resource/Robert_F._Kennedy_Memorial_Stadium', 35032, 'English'], ['Accra_Sports_Stadium', 'http://dbpedia.org/resource/Accra_Sports_Stadium', 31522, 'English'], ['Cairo_International_Stadium', 'http://dbpedia.org/resource/Cairo_International_Stadium', 20513, 'English']]",20
Stade_de_la_Libération,http://fr.dbpedia.org/resource/Stade_de_la_Libération,615,French,buildings/places,"[['President_of_the_Community_of_Madrid', 'http://dbpedia.org/resource/President_of_the_Community_of_Madrid', 33581, 'English'], ['The_People_of_Freedom', 'http://dbpedia.org/resource/The_People_of_Freedom', 39294, 'English'], ['Assembly_of_the_Representatives_of_the_People', 'http://dbpedia.org/resource/Assembly_of_the_Representatives_of_the_People', 15119, 'English'], ['List_of_heads_of_state_of_the_Central_African_Republic', 'http://dbpedia.org/resource/List_of_heads_of_state_of_the_Central_African_Republic', 10514, 'English'], ['List_of_heads_of_government_of_the_Central_African_Republic', 'http://dbpedia.org/resource/List_of_heads_of_government_of_the_Central_African_Republic', 39237, 'English'], ['The_Meaning_of_Peace', 'http://dbpedia.org/resource/The_Meaning_of_Peace', 11797, 'English'], ['Union_of_the_Centre_(2002)', 'http://dbpedia.org/resource/Union_of_the_Centre_(2002)', 36006, 'English'], ['Hero_of_the_Day', 'http://dbpedia.org/resource/Hero_of_the_Day', 19298, 'English'], ['War_of_the_Fourth_Coalition', 'http://dbpedia.org/resource/War_of_the_Fourth_Coalition', 19064, 'English'], ['Shadow_of_the_Day', 'http://dbpedia.org/resource/Shadow_of_the_Day', 20919, 'English'], ['Union_of_the_Snake', 'http://dbpedia.org/resource/Union_of_the_Snake', 13736, 'English'], ['Rally_of_the_French_People', 'http://dbpedia.org/resource/Rally_of_the_French_People', 37782, 'English'], ['Leader_of_the_House_of_Commons', 'http://dbpedia.org/resource/Leader_of_the_House_of_Commons', 11094, 'English'], ['War_of_the_Sixth_Coalition', 'http://dbpedia.org/resource/War_of_the_Sixth_Coalition', 19791, 'English'], ['Order_of_the_Star_of_India', 'http://dbpedia.org/resource/Order_of_the_Star_of_India', 36914, 'English'], ['In_the_Court_of_the_Crimson_King', 'http://dbpedia.org/resource/In_the_Court_of_the_Crimson_King', 35927, 'English'], ['President_of_the_Republic_of_China', 'http://dbpedia.org/resource/President_of_the_Republic_of_China', 35968, 'English'], ['Union_of_the_Democratic_Centre_(Spain)', 'http://dbpedia.org/resource/Union_of_the_Democratic_Centre_(Spain)', 15818, 'English'], ['National_Union_for_the_Progress_of_Romania', 'http://dbpedia.org/resource/National_Union_for_the_Progress_of_Romania', 14978, 'English'], ['Leader_of_the_House_of_Lords', 'http://dbpedia.org/resource/Leader_of_the_House_of_Lords', 31996, 'English']]",20
Staples_Center,http://fr.dbpedia.org/resource/Staples_Center,692,French,buildings/places,"[['Staples_Center', 'http://dbpedia.org/resource/Staples_Center', 11192, 'English'], ['Philadelphia_Convention_Hall_and_Civic_Center', 'http://dbpedia.org/resource/Philadelphia_Convention_Hall_and_Civic_Center', 33084, 'English'], ['First_Niagara_Center', 'http://dbpedia.org/resource/First_Niagara_Center', 17987, 'English'], ['StubHub_Center', 'http://dbpedia.org/resource/StubHub_Center', 16692, 'English'], ['New_Centre-Right', 'http://dbpedia.org/resource/New_Centre-Right', 37356, 'English'], ['New_Centre', 'http://dbpedia.org/resource/New_Centre', 10858, 'English'], ['University_of_Texas_at_Austin', 'http://dbpedia.org/resource/University_of_Texas_at_Austin', 12161, 'English'], ['University_of_Houston', 'http://dbpedia.org/resource/University_of_Houston', 34948, 'English'], ['Mavis_Staples', 'http://dbpedia.org/resource/Mavis_Staples', 19565, 'English'], ['Union_of_the_Centre_(2002)', 'http://dbpedia.org/resource/Union_of_the_Centre_(2002)', 36006, 'English'], ['University_of_North_Carolina_at_Chapel_Hill', 'http://dbpedia.org/resource/University_of_North_Carolina_at_Chapel_Hill', 19029, 'English'], ['University_of_Cincinnati', 'http://dbpedia.org/resource/University_of_Cincinnati', 39043, 'English'], ['University_of_Chicago', 'http://dbpedia.org/resource/University_of_Chicago', 17621, 'English'], ['Washington_and_Lee_University', 'http://dbpedia.org/resource/Washington_and_Lee_University', 20216, 'English'], ['University_of_Maryland,_College_Park', 'http://dbpedia.org/resource/University_of_Maryland,_College_Park', 35797, 'English'], ['University_of_Toronto', 'http://dbpedia.org/resource/University_of_Toronto', 14077, 'English'], ['University_of_California,_Los_Angeles', 'http://dbpedia.org/resource/University_of_California,_Los_Angeles', 19521, 'English'], ['City_College_of_New_York', 'http://dbpedia.org/resource/City_College_of_New_York', 18097, 'English'], ['National_University_of_San_Marcos', 'http://dbpedia.org/resource/National_University_of_San_Marcos', 31570, 'English'], ['School_for_Advanced_Studies_in_the_Social_Sciences', 'http://dbpedia.org/resource/School_for_Advanced_Studies_in_the_Social_Sciences', 19450, 'English']]",20
Cathédrale_de_la_Sainte-Trinité_de_Dresde,http://fr.dbpedia.org/resource/Cathédrale_de_la_Sainte-Trinité_de_Dresde,776,French,buildings/places,"[['Cathedral_of_the_Archangel', 'http://dbpedia.org/resource/Cathedral_of_the_Archangel', 19491, 'English'], ['Houses_of_the_Holy', 'http://dbpedia.org/resource/Houses_of_the_Holy', 16677, 'English'], ['The_Church_of_Jesus_Christ_of_Latter-day_Saints', 'http://dbpedia.org/resource/The_Church_of_Jesus_Christ_of_Latter-day_Saints', 32422, 'English'], ['Order_of_the_Holy_Sepulchre', 'http://dbpedia.org/resource/Order_of_the_Holy_Sepulchre', 35087, 'English'], ['Order_of_the_Sacred_Treasure', 'http://dbpedia.org/resource/Order_of_the_Sacred_Treasure', 34923, 'English'], ['Church_of_Greece', 'http://dbpedia.org/resource/Church_of_Greece', 34554, 'English'], ['In_the_Court_of_the_Crimson_King', 'http://dbpedia.org/resource/In_the_Court_of_the_Crimson_King', 35927, 'English'], ['House_of_Commons_of_the_United_Kingdom', 'http://dbpedia.org/resource/House_of_Commons_of_the_United_Kingdom', 16042, 'English'], ['President_of_the_Community_of_Madrid', 'http://dbpedia.org/resource/President_of_the_Community_of_Madrid', 33581, 'English'], ['City_of_Westminster', 'http://dbpedia.org/resource/City_of_Westminster', 32896, 'English'], ['Mary_of_Hungary,_Queen_of_Naples', 'http://dbpedia.org/resource/Mary_of_Hungary,_Queen_of_Naples', 38373, 'English'], ['The_Meaning_of_Peace', 'http://dbpedia.org/resource/The_Meaning_of_Peace', 11797, 'English'], ['Peter_and_Paul_Cathedral', 'http://dbpedia.org/resource/Peter_and_Paul_Cathedral', 31934, 'English'], ['The_Piper_at_the_Gates_of_Dawn', 'http://dbpedia.org/resource/The_Piper_at_the_Gates_of_Dawn', 20167, 'English'], ['Union_of_the_Centre_(2002)', 'http://dbpedia.org/resource/Union_of_the_Centre_(2002)', 36006, 'English'], ['No_Church_in_the_Wild', 'http://dbpedia.org/resource/No_Church_in_the_Wild', 16621, 'English'], ['Maria_of_Austria,_Holy_Roman_Empress', 'http://dbpedia.org/resource/Maria_of_Austria,_Holy_Roman_Empress', 17998, 'English'], ['Ministry_of_the_Interior_(Spain)', 'http://dbpedia.org/resource/Ministry_of_the_Interior_(Spain)', 30545, 'English'], ['John_the_Baptist', 'http://dbpedia.org/resource/John_the_Baptist', 30927, 'English'], ['Diocese_of_Rome', 'http://dbpedia.org/resource/Diocese_of_Rome', 14738, 'English']]",20
Gare_de_Bayonne,http://fr.dbpedia.org/resource/Gare_de_Bayonne,907,French,buildings/places,"[['Hvalstad_Station', 'http://dbpedia.org/resource/Hvalstad_Station', 14998, 'English'], ['Leangen_Station', 'http://dbpedia.org/resource/Leangen_Station', 36908, 'English'], ['Høybråten_Station', 'http://dbpedia.org/resource/Høybråten_Station', 15353, 'English'], ['Stabekk_Station', 'http://dbpedia.org/resource/Stabekk_Station', 36505, 'English'], ['Snåsa_Station', 'http://dbpedia.org/resource/Snåsa_Station', 31151, 'English'], ['Stryken_Station', 'http://dbpedia.org/resource/Stryken_Station', 19706, 'English'], ['Mariero_Station', 'http://dbpedia.org/resource/Mariero_Station', 34349, 'English'], ['Hakadal_Station', 'http://dbpedia.org/resource/Hakadal_Station', 37692, 'English'], ['Vegårshei_Station', 'http://dbpedia.org/resource/Vegårshei_Station', 30173, 'English'], ['Høn_Station', 'http://dbpedia.org/resource/Høn_Station', 33632, 'English'], ['Haugenstua_Station', 'http://dbpedia.org/resource/Haugenstua_Station', 31198, 'English'], ['Lerkendal_Station', 'http://dbpedia.org/resource/Lerkendal_Station', 32035, 'English'], ['Nordagutu_Station', 'http://dbpedia.org/resource/Nordagutu_Station', 17377, 'English'], ['Jørstad_Station', 'http://dbpedia.org/resource/Jørstad_Station', 11858, 'English'], ['Lilleby_Station', 'http://dbpedia.org/resource/Lilleby_Station', 34736, 'English'], ['Gausel_Station', 'http://dbpedia.org/resource/Gausel_Station', 31983, 'English'], ['Nittedal_Station', 'http://dbpedia.org/resource/Nittedal_Station', 10571, 'English'], ['Sørumsand_Station', 'http://dbpedia.org/resource/Sørumsand_Station', 34033, 'English'], ['Leirsund_Station', 'http://dbpedia.org/resource/Leirsund_Station', 32871, 'English'], ['Vevelstad_Station', 'http://dbpedia.org/resource/Vevelstad_Station', 38412, 'English']]",20
Ligne_de_Drammen,http://fr.dbpedia.org/resource/Ligne_de_Drammen,970,French,buildings/places,"[['Drammen_Line', 'http://dbpedia.org/resource/Drammen_Line', 11470, 'English'], ['Spikkestad_Line', 'http://dbpedia.org/resource/Spikkestad_Line', 37620, 'English'], ['Meråker_Line', 'http://dbpedia.org/resource/Meråker_Line', 11944, 'English'], ['Gjøvik_Line', 'http://dbpedia.org/resource/Gjøvik_Line', 36023, 'English'], ['Arendal_Line', 'http://dbpedia.org/resource/Arendal_Line', 39216, 'English'], ['Kongsvinger_Line', 'http://dbpedia.org/resource/Kongsvinger_Line', 35480, 'English'], ['Østfold_Line', 'http://dbpedia.org/resource/Østfold_Line', 18571, 'English'], ['Drammen_Station', 'http://dbpedia.org/resource/Drammen_Station', 12292, 'English'], ['Sørlandet_Line', 'http://dbpedia.org/resource/Sørlandet_Line', 11611, 'English'], ['Nordland_Line', 'http://dbpedia.org/resource/Nordland_Line', 19778, 'English'], ['Rauma_Line', 'http://dbpedia.org/resource/Rauma_Line', 33712, 'English'], ['Vestfold_Line', 'http://dbpedia.org/resource/Vestfold_Line', 16112, 'English'], ['Trunk_Line', 'http://dbpedia.org/resource/Trunk_Line', 16596, 'English'], ['Yamanote_Line', 'http://dbpedia.org/resource/Yamanote_Line', 39491, 'English'], ['Line_Beauchamp', 'http://dbpedia.org/resource/Line_Beauchamp', 11883, 'English'], ['Draw_the_Line_(song)', 'http://dbpedia.org/resource/Draw_the_Line_(song)', 30561, 'English'], ['Parallel_Lines', 'http://dbpedia.org/resource/Parallel_Lines', 37040, 'English'], ['No_Line_on_the_Horizon', 'http://dbpedia.org/resource/No_Line_on_the_Horizon', 11204, 'English'], ['Draw_the_Line_(Aerosmith_album)', 'http://dbpedia.org/resource/Draw_the_Line_(Aerosmith_album)', 20853, 'English'], ['House_of_Holstein-Gottorp_(Swedish_line)', 'http://dbpedia.org/resource/House_of_Holstein-Gottorp_(Swedish_line)', 36317, 'English']]",20
